hà nội => hn|tphn
hà giang => hg|tphg
cao bằng => cb|tpcb
bắc kạn => bk|tpbk
tuyên quang => tq|tptq
lào cai => lca|tplca
điện biên => db|tpdb
lai châu => lc|tplc
sơn la => sl|tpsl
yên bái => yb|tpyb
hoà bình => hb|tphb
thái nguyên => tng|tptng
lạng sơn => ls|tpls
quảng ninh => qn|tpqn
bắc giang => bg|tpbg
phú thọ => pt|tppt
vĩnh phúc => vp|tpvp
bắc ninh => bn|tpbn
hải dương => hd|tphd
hải phòng => hp|tphp
hưng yên => hy|tphy
thái bình => tb|tptb
hà nam => hna|tphna
nam định => nd|tpnd
ninh bình => nb|tpnb
thanh hóa => th|tpth
nghệ an => na|tpna
hà tĩnh => ht|tpht
quảng bình => qb|tpqb
quảng trị => qt|tpqt
thừa thiên huế => tth|tptth
đà nẵng => dna|đna|tpdna
quảng nam => qna|tpqna
quảng ngãi => qng|tpqng
bình định => bd|tpbd
phú yên => py|tppy
khánh hòa => kh|tpkh
ninh thuận => nt|tpnt
bình thuận => bth|tpbth
kon tum => kt|tpkt
gia lai => gl|tpgl
đắk lắk => dl|tpdl
đắk nông => dno|đno|tpdno|tpđno
lâm đồng => ld|tpld
bình phước => bp|tpbp
tây ninh => tn|tptn
bình dương => bd|tpbd
đồng nai => dn|tpdn
bà rịa - vũng tàu => brvt|tpbrvt
hồ chí minh => hcmc|hcm|tphcm|tphồ chí minh|tpho chi minh
long an => la|tpla
tiền giang => tg|tptg
bến tre => bt|tpbt
trà vinh => tv|tptv
vĩnh long => vl|tpvl
đồng tháp => dt|tpdt
an giang => ag|tpag
kiên giang => kg|tpkg
cần thơ => ct|tpct
hậu giang => hgi|tphgi
sóc trăng => st|tpst
bạc liêu => bl|tpbl
cà mau => cm|tpcm
