ba đình|ba dinh
hoàn kiếm|hoan kiem
tây hồ|tay ho
long biên|long bien
cầu giấy|cau giay
đống đa|dong da
hai bà trưng|hai ba trung
hoàng mai|hoang mai
thanh xuân|thanh xuan
sóc sơn|soc son
đông anh|dong anh
gia lâm|gia lam
nam từ liêm|nam tu liem
thanh trì|thanh tri
bắc từ liêm|bac tu liem
hà giang|ha giang
đồng văn|dong van
mèo vạc|meo vac
yên minh|yen minh
quản bạ|quan ba
vị xuyên|vi xuyen
bắc mê|bac me
hoàng su phì|hoang su phi
xín mần|xin man
bắc quang|bac quang
quang bình|quang binh
cao bằng|cao bang
bảo lâm|bao lam
bảo lạc|bao lac
hà quảng|ha quang
trùng khánh|trung khanh
hạ lang|ha lang
quảng hòa|quang hoa
hoà an|hoa an
nguyên bình|nguyen binh
thạch an|thach an
bắc kạn|bac kan
pác nặm|pac nam
ba bể|ba be
ngân sơn|ngan son
bạch thông|bach thong
chợ đồn|cho don
chợ mới|cho moi
na rì|na ri
tuyên quang|tuyen quang
lâm bình|lam binh
na hang
chiêm hóa|chiem hoa
hàm yên|ham yen
yên sơn|yen son
sơn dương|son duong
lào cai|lao cai
bát xát|bat xat
mường khương|muong khuong
si ma cai
bắc hà|bac ha
bảo thắng|bao thang
bảo yên|bao yen
sa pa
văn bàn|van ban
điện biên phủ|dien bien phu
mường lay|muong lay
mường nhé|muong nhe
mường chà|muong cha
tủa chùa|tua chua
tuần giáo|tuan giao
điện biên|dien bien
điện biên đông|dien bien dong
mường ảng|muong ang
nậm pồ|nam po
lai châu|lai chau
tam đường|tam duong
mường tè|muong te
sìn hồ|sin ho
phong thổ|phong tho
than uyên|than uyen
tân uyên|tan uyen
nậm nhùn|nam nhun
sơn la|son la
quỳnh nhai|quynh nhai
thuận châu|thuan chau
mường la|muong la
bắc yên|bac yen
phù yên|phu yen
mộc châu|moc chau
yên châu|yen chau
mai sơn|mai son
sông mã|song ma
sốp cộp|sop cop
vân hồ|van ho
yên bái|yen bai
nghĩa lộ|nghia lo
lục yên|luc yen
văn yên|van yen
mù căng chải|mu cang chai
trấn yên|tran yen
trạm tấu|tram tau
văn chấn|van chan
yên bình|yen binh
hòa bình|hoa binh
đà bắc|da bac
lương sơn|luong son
kim bôi|kim boi
cao phong
tân lạc|tan lac
mai châu|mai chau
lạc sơn|lac son
yên thủy|yen thuy
lạc thủy|lac thuy
thái nguyên|thai nguyen
sông công|song cong
định hóa|dinh hoa
phú lương|phu luong
đồng hỷ|dong hy
võ nhai|vo nhai
đại từ|dai tu
phổ yên|pho yen
phú bình|phu binh
lạng sơn|lang son
tràng định|trang dinh
bình gia|binh gia
văn lãng|van lang
cao lộc|cao loc
văn quan|van quan
bắc sơn|bac son
hữu lũng|huu lung
chi lăng|chi lang
lộc bình|loc binh
đình lập|dinh lap
hạ long|ha long
móng cái|mong cai
cẩm phả|cam pha
uông bí|uong bi
bình liêu|binh lieu
tiên yên|tien yen
đầm hà|dam ha
hải hà|hai ha
ba chẽ|ba che
vân đồn|van don
đông triều|dong trieu
quảng yên|quang yen
cô tô|co to
bắc giang|bac giang
yên thế|yen the
tân yên|tan yen
lạng giang|lang giang
lục nam|luc nam
lục ngạn|luc ngan
sơn động|son dong
yên dũng|yen dung
việt yên|viet yen
hiệp hòa|hiep hoa
việt trì|viet tri
phú thọ|phu tho
đoan hùng|doan hung
hạ hoà|ha hoa
thanh ba
phù ninh|phu ninh
yên lập|yen lap
cẩm khê|cam khe
tam nông|tam nong
lâm thao|lam thao
thanh sơn|thanh son
thanh thuỷ|thanh thuy
tân sơn|tan son
vĩnh yên|vinh yen
phúc yên|phuc yen
lập thạch|lap thach
tam dương|tam duong
tam đảo|tam dao
bình xuyên|binh xuyen
mê linh|me linh
yên lạc|yen lac
vĩnh tường|vinh tuong
sông lô|song lo
bắc ninh|bac ninh
yên phong|yen phong
quế võ|que vo
tiên du|tien du
từ sơn|tu son
thuận thành|thuan thanh
gia bình|gia binh
lương tài|luong tai
hà đông|ha dong
sơn tây|son tay
ba vì|ba vi
phúc thọ|phuc tho
đan phượng|dan phuong
hoài đức|hoai duc
quốc oai|quoc oai
thạch thất|thach that
chương mỹ|chuong my
thanh oai
thường tín|thuong tin
phú xuyên|phu xuyen
ứng hòa|ung hoa
mỹ đức|my duc
hải dương|hai duong
chí linh|chi linh
nam sách|nam sach
kinh môn|kinh mon
kim thành|kim thanh
thanh hà|thanh ha
cẩm giàng|cam giang
bình giang|binh giang
gia lộc|gia loc
tứ kỳ|tu ky
ninh giang
thanh miện|thanh mien
hồng bàng|hong bang
ngô quyền|ngo quyen
lê chân|le chan
hải an|hai an
kiến an|kien an
đồ sơn|do son
dương kinh|duong kinh
thuỷ nguyên|thuy nguyen
an dương|an duong
an lão|an lao
kiến thuỵ|kien thuy
tiên lãng|tien lang
vĩnh bảo|vinh bao
cát hải|cat hai
bạch long vĩ|bach long vi
hưng yên|hung yen
văn lâm|van lam
văn giang|van giang
yên mỹ|yen my
mỹ hào|my hao
ân thi|an thi
khoái châu|khoai chau
kim động|kim dong
tiên lữ|tien lu
phù cừ|phu cu
thái bình|thai binh
quỳnh phụ|quynh phu
hưng hà|hung ha
đông hưng|dong hung
thái thụy|thai thuy
tiền hải|tien hai
kiến xương|kien xuong
vũ thư|vu thu
phủ lý|phu ly
duy tiên|duy tien
kim bảng|kim bang
thanh liêm|thanh liem
bình lục|binh luc
lý nhân|ly nhan
nam định|nam dinh
mỹ lộc|my loc
vụ bản|vu ban
ý yên|y yen
nghĩa hưng|nghia hung
nam trực|nam truc
trực ninh|truc ninh
xuân trường|xuan truong
giao thủy|giao thuy
hải hậu|hai hau
ninh bình|ninh binh
tam điệp|tam diep
nho quan
gia viễn|gia vien
hoa lư|hoa lu
yên khánh|yen khanh
kim sơn|kim son
yên mô|yen mo
thanh hóa|thanh hoa
bỉm sơn|bim son
sầm sơn|sam son
mường lát|muong lat
quan hóa|quan hoa
bá thước|ba thuoc
quan sơn|quan son
lang chánh|lang chanh
ngọc lặc|ngoc lac
cẩm thủy|cam thuy
thạch thành|thach thanh
hà trung|ha trung
vĩnh lộc|vinh loc
yên định|yen dinh
thọ xuân|tho xuan
thường xuân|thuong xuan
triệu sơn|trieu son
thiệu hóa|thieu hoa
hoằng hóa|hoang hoa
hậu lộc|hau loc
nga sơn|nga son
như xuân|nhu xuan
như thanh|nhu thanh
nông cống|nong cong
đông sơn|dong son
quảng xương|quang xuong
nghi sơn|nghi son
cửa lò|cua lo
vinh
thái hoà|thai hoa
quế phong|que phong
quỳ châu|quy chau
kỳ sơn|ky son
tương dương|tuong duong
nghĩa đàn|nghia dan
quỳ hợp|quy hop
quỳnh lưu|quynh luu
con cuông|con cuong
tân kỳ|tan ky
anh sơn|anh son
diễn châu|dien chau
yên thành|yen thanh
đô lương|do luong
thanh chương|thanh chuong
nghi lộc|nghi loc
nam đàn|nam dan
hưng nguyên|hung nguyen
hoàng mai|hoang mai
hà tĩnh|ha tinh
hồng lĩnh|hong linh
hương sơn|huong son
đức thọ|duc tho
vũ quang|vu quang
nghi xuân|nghi xuan
can lộc|can loc
hương khê|huong khe
thạch hà|thach ha
cẩm xuyên|cam xuyen
kỳ anh|ky anh
lộc hà|loc ha
kỳ anh|ky anh
đồng hới|dong hoi
minh hóa|minh hoa
tuyên hóa|tuyen hoa
quảng trạch|quang trach
bố trạch|bo trach
quảng ninh|quang ninh
lệ thủy|le thuy
ba đồn|ba don
đông hà|dong ha
quảng trị|quang tri
vĩnh linh|vinh linh
hướng hóa|huong hoa
gio linh
đa krông|da krong
cam lộ|cam lo
triệu phong|trieu phong
hải lăng|hai lang
cồn cỏ|con co
phong điền|phong dien
quảng điền|quang dien
phú vang|phu vang
hương thủy|huong thuy
hương trà|huong tra
a lưới|a luoi
phú lộc|phu loc
nam đông|nam dong
liên chiểu|lien chieu
thanh khê|thanh khe
hải châu|hai chau
sơn trà|son tra
ngũ hành sơn|ngu hanh son
cẩm lệ|cam le
hòa vang|hoa vang
hoàng sa|hoang sa
tam kỳ|tam ky
hội an|hoi an
tây giang|tay giang
đông giang|dong giang
đại lộc|dai loc
điện bàn|dien ban
duy xuyên|duy xuyen
quế sơn|que son
nam giang
phước sơn|phuoc son
hiệp đức|hiep duc
thăng bình|thang binh
tiên phước|tien phuoc
bắc trà my|bac tra my
nam trà my|nam tra my
núi thành|nui thanh
phú ninh|phu ninh
nông sơn|nong son
quảng ngãi|quang ngai
bình sơn|binh son
trà bồng|tra bong
sơn tịnh|son tinh
tư nghĩa|tu nghia
sơn hà|son ha
sơn tây|son tay
minh long
nghĩa hành|nghia hanh
mộ đức|mo duc
đức phổ|duc pho
ba tơ|ba to
lý sơn|ly son
quy nhơn|quy nhon
an lão|an lao
hoài nhơn|hoai nhon
hoài ân|hoai an
phù mỹ|phu my
vĩnh thạnh|vinh thanh
tây sơn|tay son
phù cát|phu cat
an nhơn|an nhon
tuy phước|tuy phuoc
vân canh|van canh
tuy hoà|tuy hoa
sông cầu|song cau
đồng xuân|dong xuan
tuy an
sơn hòa|son hoa
sông hinh|song hinh
tây hoà|tay hoa
phú hoà|phu hoa
