phúc xá|phuc xa
trúc bạch|truc bach
vĩnh phúc|vinh phuc
cống vị|cong vi
liễu giai|lieu giai
nguyễn trung trực|nguyen trung truc
quán thánh|quan thanh
ngọc hà|ngoc ha
điện biên|dien bien
đội cấn|doi can
ngọc khánh|ngoc khanh
kim mã|kim ma
giảng võ|giang vo
thành công|thanh cong
phúc tân|phuc tan
đồng xuân|dong xuan
hàng mã|hang ma
hàng buồm|hang buom
hàng đào|hang dao
hàng bồ|hang bo
cửa đông|cua dong
lý thái tổ|ly thai to
hàng bạc|hang bac
hàng gai|hang gai
chương dương|chuong duong
hàng trống|hang trong
cửa nam|cua nam
hàng bông|hang bong
tràng tiền|trang tien
trần hưng đạo|tran hung dao
phan chu trinh
hàng bài|hang bai
phú thượng|phu thuong
nhật tân|nhat tan
tứ liên|tu lien
quảng an|quang an
xuân la|xuan la
yên phụ|yen phu
thụy khuê|thuy khue
thượng thanh|thuong thanh
ngọc thụy|ngoc thuy
giang biên|giang bien
đức giang|duc giang
việt hưng|viet hung
gia thụy|gia thuy
ngọc lâm|ngoc lam
phúc lợi|phuc loi
bồ đề|bo de
sài đồng|sai dong
long biên|long bien
thạch bàn|thach ban
phúc đồng|phuc dong
cự khối|cu khoi
nghĩa đô|nghia do
nghĩa tân|nghia tan
mai dịch|mai dich
dịch vọng|dich vong
dịch vọng hậu|dich vong hau
quan hoa
yên hoà|yen hoa
trung hoà|trung hoa
cát linh|cat linh
văn miếu|van mieu
quốc tử giám|quoc tu giam
láng thượng|lang thuong
ô chợ dừa|o cho dua
văn chương|van chuong
hàng bột|hang bot
láng hạ|lang ha
khâm thiên|kham thien
thổ quan|tho quan
nam đồng|nam dong
trung phụng|trung phung
quang trung
trung liệt|trung liet
phương liên|phuong lien
thịnh quang|thinh quang
trung tự|trung tu
kim liên|kim lien
phương mai|phuong mai
ngã tư sở|nga tu so
khương thượng|khuong thuong
nguyễn du|nguyen du
bạch đằng|bach dang
phạm đình hổ|pham dinh ho
lê đại hành|le dai hanh
đồng nhân|dong nhan
phố huế|pho hue
đống mác|dong mac
thanh lương|thanh luong
thanh nhàn|thanh nhan
cầu dền|cau den
bách khoa|bach khoa
đồng tâm|dong tam
vĩnh tuy|vinh tuy
bạch mai|bach mai
quỳnh mai|quynh mai
quỳnh lôi|quynh loi
minh khai
trương định|truong dinh
thanh trì|thanh tri
vĩnh hưng|vinh hung
định công|dinh cong
mai động|mai dong
tương mai|tuong mai
đại kim|dai kim
tân mai|tan mai
hoàng văn thụ|hoang van thu
giáp bát|giap bat
lĩnh nam|linh nam
thịnh liệt|thinh liet
trần phú|tran phu
hoàng liệt|hoang liet
yên sở|yen so
nhân chính|nhan chinh
thượng đình|thuong dinh
khương trung|khuong trung
khương mai|khuong mai
thanh xuân trung|thanh xuan trung
phương liệt|phuong liet
hạ đình|ha dinh
khương đình|khuong dinh
thanh xuân bắc|thanh xuan bac
thanh xuân nam|thanh xuan nam
kim giang
sóc sơn|soc son
bắc sơn|bac son
minh trí|minh tri
hồng kỳ|hong ky
nam sơn|nam son
trung giã|trung gia
tân hưng|tan hung
minh phú|minh phu
phù linh|phu linh
bắc phú|bac phu
tân minh|tan minh
quang tiến|quang tien
hiền ninh|hien ninh
tân dân|tan dan
tiên dược|tien duoc
việt long|viet long
xuân giang|xuan giang
mai đình|mai dinh
đức hoà|duc hoa
thanh xuân|thanh xuan
đông xuân|dong xuan
kim lũ|kim lu
phú cường|phu cuong
phú minh|phu minh
phù lỗ|phu lo
xuân thu|xuan thu
đông anh|dong anh
xuân nộn|xuan non
thuỵ lâm|thuy lam
bắc hồng|bac hong
nguyên khê|nguyen khe
nam hồng|nam hong
tiên dương|tien duong
vân hà|van ha
uy nỗ|uy no
vân nội|van noi
liên hà|lien ha
việt hùng|viet hung
kim nỗ|kim no
kim chung
dục tú|duc tu
đại mạch|dai mach
vĩnh ngọc|vinh ngoc
cổ loa|co loa
hải bối|hai boi
xuân canh|xuan canh
võng la|vong la
tàm xá|tam xa
mai lâm|mai lam
đông hội|dong hoi
yên viên|yen vien
yên thường|yen thuong
ninh hiệp|ninh hiep
