hà nội|ha noi|hn|tphn
hà giang|ha giang|hg|tphg
cao bằng|cao bang|cb|tpcb
bắc kạn|bac kan|bk|tpbk
tuyên quang|tuyen quang|tq|tptq
lào cai|lao cai|lca|tplca
điện biên|dien bien|db|tpdb
lai châu|lai chau|lc|tplc
sơn la|son la|sl|tpsl
yên bái|yen bai|yb|tpyb
hoà bình|hoa binh|hb|tphb
thái nguyên|thai nguyen|tng|tptng
lạng sơn|lang son|ls|tpls
quảng ninh|quang ninh|qn|tpqn
bắc giang|bac giang|bg|tpbg
phú thọ|phu tho|pt|tppt
vĩnh phúc|vinh phuc|vp|tpvp
bắc ninh|bac ninh|bn|tpbn
hải dương|hai duong|hd|tphd
hải phòng|hai phong|hp|tphp
hưng yên|hung yen|hy|tphy
thái bình|thai binh|tb|tptb
hà nam|ha nam|hna|tphna
nam định|nam dinh|nd|tpnd
ninh bình|ninh binh|nb|tpnb
thanh hóa|thanh hoa|th|tpth
nghệ an|nghe an|na|tpna
hà tĩnh|ha tinh|ht|tpht
quảng bình|quang binh|qb|tpqb
quảng trị|quang tri|qt|tpqt
thừa thiên huế|thua thien hue|tth|tptth|huế
đà nẵng|da nang|dna|đna|tpdna|tpđna
quảng nam|quang nam|qna|tpqna
quảng ngãi|quang ngai|qng|tpqng
bình định|binh dinh|bd|tpbd
phú yên|phu yen|py|tppy
khánh hòa|khanh hoa|kh|tpkh
ninh thuận|ninh thuan|nt|tpnt
bình thuận|binh thuan|bth|tpbth
kon tum|kon tum|kt|tpkt
gia lai|gia lai|gl|tpgl
đắk lắk|dak lak|dl|tpdl
đắk nông|dak nong|dno|đno|tpdno
lâm đồng|lam dong|ld|tpld
bình phước|binh phuoc|bp|tpbp
tây ninh|tay ninh|tn|tptn
bình dương|binh duong|bd|tpbd
đồng nai|dong nai|dn|đn|tpdn
bà rịa vũng tàu|ba ria vung tau|brvt|tpbrvt
hồ chí minh|ho chi minh|hcm|tphcm
long an|long an|la|tpla
tiền giang|tien giang|tg|tptg
bến tre|ben tre|bt|tpbt
trà vinh|tra vinh|tv|tptv
vĩnh long|vinh long|vl|tpvl
đồng tháp|dong thap|dt|tpdt
an giang|an giang|ag|tpag
kiên giang|kien giang|kg|tpkg
cần thơ|can tho|ct|tpct
hậu giang|hau giang|hgi|tphgi
sóc trăng|soc trang|st|tpst
bạc liêu|bac lieu|bl|tpbl
cà mau|ca mau|cm|tpcm
