thôn kéo pựt|thon keo put^\p{L}*\S
thôn nà chả|thon na cha
thôn nà hàn|thon na han
thôn phiêng toản|phjêng toản|thon phieng toan|phjeng toan
thôn bản xả|thon ban xa
thôn bản hán|thon ban han
thôn bản lài|thon ban lai
thôn bản lùng|thon ban lung
thôn bản pục|thon ban puc
thôn bản trù|thon ban tru
thôn đon dài|thon don dai
thôn khuổi ha|thon khuoi ha
thôn kim nhòan|thon kim nhoan
thôn lủng miều|thon lung mieu
thôn nà cà|thon na ca
thôn nà đông|thon na dong
thôn nà nao|thon na nao
thôn nà ngộm|thon na ngom
thôn nà phầy|thon na phay
thôn nà quang|thon na quang
thôn pác chi|thon pac chi
thôn phiêng kẻm|phjêng kẻm|thon phieng kem|phjeng kem
thôn pù mắt|thon pu mat
thôn bản lác|thon ban lac
thôn bản mạ|thon ban ma
thôn bản váng|thon ban vang
thôn cốc cưởm|thon coc cuom
thôn cốc pái|thon coc pai
thôn khuổi kẹn|thon khuoi ken
thôn nà áng|thon na ang
thôn nà cường|thon na cuong
thôn nà lòn|thon na lon
thôn nà loỏng|thon na loong
thôn pác nghè|thon pac nghe
thôn tát dài|thon tat dai
thôn tiền phong|thon tien phong
thôn tổng chàm|thon tong cham
thôn tổng phung|thon tong phung
thôn bản chán|thon ban chan
thôn cốc coọng|thon coc coong
thôn cốc phấy|thon coc phay
thôn khưa quang|thon khua quang
thôn nà bi oóc|nà bióoc|thon na bi ooc|na biooc
thôn nà đứa|thon na dua
thôn nà khâu|thon na khau
thôn na pha|thon na pha
thôn nà thẩu|thon na thau
thôn tẩn lùng|thon tan lung
thôn bản duống|thon ban duong
thôn bản vàng|thon ban vang
thôn coóc mu|thon cooc mu
thôn khuổi khún|thon khuoi khun
thôn nà lầu|thon na lau
thôn nà ngò|thon na ngo
thôn nà pao|nà piao|thon na pao|na piao
thôn nà phiêng|thon na phieng
thôn nà pùng|thon na pung
thôn nà vẻ|thon na ve
thôn nà ven|thon na ven
thôn phiêng luông|phjêng luông|thon phieng luong|phjeng luong
thôn phiêng p|phiêng p|thon phieng p|phieng p
thôn thạch ngõa 1|thon thach ngoa 1
thôn thạch ngõa 2|thon thach ngoa 2
thôn cốc lót|thon coc lot
thôn cốc lùng|thon coc lung
thôn đông đăm|thon dong dam
thôn khuổi chu|thon khuoi chu
thôn khuổi liên|thon khuoi lien
thôn khuổi mản|thon khuoi man
thôn khuổi thốc|thon khuoi thoc
thôn bản cám|thon ban cam
thôn bó lù|thon bo lu
thôn cốc tộc|thon coc toc
thôn đầu đẳng|thon dau dang
thôn khau qua|thon khau qua
thôn nà phấy|thon na phay
thôn nặm dài|thon nam dai
thôn khau cà|thon khau ca
thôn lủng cháp|thon lung chap
thôn nà cọ|thon na co
thôn nà diếu|thon na dieu
thôn nà phả|thon na pha
